epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1736,1.64084,3.22133,1.64385,0.33761,0.34255,0.29532,0.1393,1.86877,3.10694,1.96394,0.000471617,0.000471617,0.000471617
2,76.4932,1.49769,2.11871,1.47663,0.44765,0.50933,0.40702,0.19335,1.82691,2.13873,1.90533,0.000929181,0.000929181,0.000929181
3,107.753,1.5099,1.75473,1.4813,0.4218,0.48518,0.33876,0.16897,2.27277,3.60959,2.41843,0.00136788,0.00136788,0.00136788
4,138.762,1.50023,1.5917,1.46442,0.50694,0.53418,0.51968,0.26393,1.89159,1.69588,2.00523,0.00134412,0.00134412,0.00134412
5,169.465,1.44326,1.46901,1.41665,0.60088,0.51765,0.56735,0.29202,1.79338,1.62367,1.8565,0.00131582,0.00131582,0.00131582
6,200.596,1.41228,1.40782,1.39371,0.62862,0.61676,0.63287,0.31544,1.78435,1.36407,1.76884,0.00128753,0.00128753,0.00128753
7,231.339,1.39451,1.34889,1.38657,0.68911,0.63333,0.6818,0.35931,1.69974,1.35738,1.74424,0.00125923,0.00125923,0.00125923
8,262.094,1.36949,1.29871,1.36435,0.74777,0.75875,0.78037,0.41055,1.66051,1.13438,1.71185,0.00123094,0.00123094,0.00123094
9,293.152,1.35279,1.27802,1.35043,0.71273,0.66807,0.70311,0.37819,1.63667,1.26367,1.65178,0.00120265,0.00120265,0.00120265
10,323.975,1.33782,1.26439,1.34424,0.75276,0.75848,0.77838,0.41273,1.65729,1.09309,1.67018,0.00117435,0.00117435,0.00117435
11,354.658,1.31411,1.22649,1.32429,0.72812,0.71401,0.75653,0.38961,1.68331,1.13928,1.70026,0.00114606,0.00114606,0.00114606
12,385.663,1.29901,1.20867,1.3167,0.74141,0.67993,0.74861,0.41709,1.62407,1.14349,1.65088,0.00111776,0.00111776,0.00111776
13,416.39,1.28954,1.19597,1.31457,0.74808,0.67942,0.73089,0.39217,1.63697,1.16935,1.65174,0.00108947,0.00108947,0.00108947
14,447.043,1.27756,1.18175,1.30309,0.76044,0.68443,0.7532,0.38456,1.70416,1.16932,1.73058,0.00106118,0.00106118,0.00106118
15,478.02,1.26338,1.17103,1.29916,0.77418,0.67689,0.76076,0.41693,1.6048,1.13743,1.62636,0.00103288,0.00103288,0.00103288
16,508.64,1.25399,1.1576,1.29064,0.78009,0.71389,0.78191,0.43555,1.58519,1.0961,1.60735,0.00100459,0.00100459,0.00100459
17,539.47,1.25243,1.14358,1.28496,0.80805,0.71728,0.78419,0.43386,1.60376,1.0792,1.65628,0.000976293,0.000976293,0.000976293
18,570.104,1.2406,1.14056,1.28433,0.55642,0.9269,0.72863,0.41022,1.53581,1.095,1.5908,0.000947999,0.000947999,0.000947999
19,600.899,1.22801,1.10407,1.27521,0.805,0.68539,0.78499,0.43398,1.57795,1.05943,1.62989,0.000919704,0.000919704,0.000919704
20,631.74,1.21247,1.10776,1.26845,0.74231,0.68681,0.76794,0.43887,1.54479,1.10421,1.60441,0.00089141,0.00089141,0.00089141
21,662.545,1.2101,1.0982,1.26431,0.81677,0.68597,0.7859,0.44935,1.5462,1.08697,1.58747,0.000863116,0.000863116,0.000863116
22,693.216,1.19957,1.09976,1.25618,0.81361,0.70132,0.78386,0.45118,1.5431,1.06442,1.59143,0.000834822,0.000834822,0.000834822
23,724.192,1.19248,1.08211,1.25021,0.78445,0.70078,0.75838,0.43207,1.56467,1.11575,1.60221,0.000806528,0.000806528,0.000806528
24,754.766,1.1862,1.08279,1.24673,0.82305,0.69286,0.79075,0.46159,1.51593,1.04666,1.55803,0.000778233,0.000778233,0.000778233
25,785.788,1.17033,1.07334,1.23936,0.81113,0.69713,0.783,0.44902,1.58887,1.04724,1.62006,0.000749939,0.000749939,0.000749939
26,816.45,1.17055,1.0698,1.24768,0.82393,0.70342,0.79319,0.45775,1.5554,1.05707,1.60438,0.000721645,0.000721645,0.000721645
